level,score,mode,n_posts
0,0,quickplay,56174
0,1,quickplay,52321
0,2,quickplay,43179
0,3,quickplay,29123
0,4,quickplay,15832
0,5,quickplay,6634
0,6,quickplay,2281
0,7,quickplay,638
0,8,quickplay,142
0,9,quickplay,34
0,10,quickplay,6
0,11,quickplay,3
0,12,quickplay,2
0,13,quickplay,2
0,14,quickplay,3
0,15,quickplay,1
1,0,level_mode,9
1,1,level_mode,2
1,2,level_mode,1
1,6,level_mode,1
1,7,level_mode,3
1,8,level_mode,2
1,9,level_mode,1
1,10,level_mode,6
1,11,level_mode,3
1,12,level_mode,3
1,13,level_mode,9
1,14,level_mode,17
1,15,level_mode,37
1,16,level_mode,56
1,17,level_mode,90
1,18,level_mode,74
1,19,level_mode,97
1,20,level_mode,121
1,21,level_mode,3415
2,0,level_mode,21
2,1,level_mode,21
2,2,level_mode,25
2,3,level_mode,36
2,4,level_mode,26
2,5,level_mode,35
2,6,level_mode,35
2,7,level_mode,50
2,8,level_mode,87
2,9,level_mode,185
2,10,level_mode,342
2,11,level_mode,971
2,12,level_mode,1212
2,13,level_mode,293
2,18,level_mode,1
3,0,level_mode,34
3,1,level_mode,33
3,2,level_mode,64
3,3,level_mode,85
3,4,level_mode,176
3,5,level_mode,320
3,6,level_mode,475
3,7,level_mode,675
3,8,level_mode,741
3,9,level_mode,360
3,10,level_mode,6
4,0,level_mode,231
4,1,level_mode,286
4,2,level_mode,340
4,3,level_mode,362
4,4,level_mode,430
4,5,level_mode,536
4,6,level_mode,394
4,7,level_mode,60
4,10,level_mode,1
4,14,level_mode,1
5,0,level_mode,799
5,1,level_mode,555
5,2,level_mode,389
5,3,level_mode,235
5,4,level_mode,69
5,5,level_mode,10
5,6,level_mode,5
5,9,level_mode,1
5,12,level_mode,1
6,0,level_mode,676
6,1,level_mode,480
6,2,level_mode,297
6,3,level_mode,173
6,4,level_mode,48
6,5,level_mode,3
6,12,level_mode,1
7,0,level_mode,497
7,1,level_mode,388
7,2,level_mode,330
7,3,level_mode,168
7,4,level_mode,23
7,5,level_mode,1
8,0,level_mode,471
8,1,level_mode,290
8,2,level_mode,210
8,3,level_mode,167
8,4,level_mode,55
8,5,level_mode,11
8,10,level_mode,1
9,0,level_mode,513
9,1,level_mode,251
9,2,level_mode,147
9,3,level_mode,68
9,4,level_mode,8
10,0,level_mode,425
10,1,level_mode,250
10,2,level_mode,204
10,3,level_mode,78
10,4,level_mode,19
10,10,level_mode,1
11,0,level_mode,3
11,4,level_mode,1
11,6,level_mode,1
11,7,level_mode,2
11,9,level_mode,3
11,10,level_mode,2
11,11,level_mode,17
11,12,level_mode,93
11,13,level_mode,164
11,14,level_mode,222
11,15,level_mode,263
11,16,level_mode,250
11,17,level_mode,21
12,2,level_mode,2
12,3,level_mode,1
12,4,level_mode,2
12,5,level_mode,6
12,6,level_mode,21
12,7,level_mode,48
12,8,level_mode,90
12,9,level_mode,192
12,10,level_mode,222
12,11,level_mode,212
12,12,level_mode,163
12,13,level_mode,55
12,14,level_mode,5
13,0,level_mode,1
13,1,level_mode,3
13,2,level_mode,6
13,3,level_mode,9
13,4,level_mode,21
13,5,level_mode,40
13,6,level_mode,75
13,7,level_mode,114
13,8,level_mode,142
13,9,level_mode,185
13,10,level_mode,218
13,11,level_mode,143
13,12,level_mode,38
14,0,level_mode,4
14,1,level_mode,4
14,2,level_mode,11
14,3,level_mode,20
