period,window_group,event_name,n_events,n_users
20180628,pre_window,session_start,1113,730
20180628,pre_window,user_engagement,19919,779
20180628,pre_window,post_score,2410,331
20180628,pre_window,level_end,761,107
20180628,pre_window,level_end_quickplay,5751,560
20180628,pre_window,screen_view,1857,1110
20180628,in_window,level_fail,34,6
20180628,pre_window,level_start,1088,129
20180628,pre_window,level_start_quickplay,8627,660
20180628,in_window,level_end,82,8
20180628,in_window,user_engagement,730,29
20180628,pre_window,level_fail,205,49
20180628,pre_window,use_extra_steps,67,25
20180628,pre_window,level_reset,172,44
20180628,in_window,post_score,55,12
20180628,in_window,level_start_quickplay,137,19
20180628,pre_window,level_complete,240,54
20180628,pre_window,no_more_extra_steps,42,24
20180628,in_window,session_start,44,27
20180628,in_window,challenge_a_friend,3,1
20180628,pre_window,level_retry,383,79
20180628,pre_window,completed_5_levels,12,12
20180628,pre_window,level_retry_quickplay,587,135
20180628,pre_window,level_fail_quickplay,2367,335
20180628,pre_window,app_remove,31,31
20180628,pre_window,level_up,225,51
20180628,in_window,level_retry,55,9
20180628,pre_window,os_update,52,52
20180628,pre_window,level_complete_quickplay,263,20
20180628,pre_window,firebase_campaign,17,13
20180628,pre_window,level_reset_quickplay,2005,137
20180628,pre_window,app_update,40,40
20180628,in_window,level_end_quickplay,106,16
20180628,in_window,level_fail_quickplay,58,10
20180628,pre_window,select_content,158,29
20180628,in_window,screen_view,42,27
20180627,pre_window,level_retry_quickplay,336,84
20180627,pre_window,level_reset_quickplay,532,48
20180627,in_window,screen_view,1496,44
20180627,in_window,level_end_quickplay,69,16
20180627,pre_window,level_end_quickplay,2863,253
20180627,pre_window,user_engagement,10912,345
20180627,pre_window,level_retry,227,38
20180627,pre_window,session_start,497,325
20180627,in_window,use_extra_steps,2,2
20180627,in_window,level_end,167,19
20180627,in_window,select_content,94,41
20180627,pre_window,level_start_quickplay,4118,287
20180627,pre_window,level_start,353,49
20180627,pre_window,post_score,1820,253
20180627,pre_window,level_complete_quickplay,1659,224
20180627,pre_window,level_fail_quickplay,1205,142
20180627,pre_window,level_complete,141,29
20180627,pre_window,no_more_extra_steps,12,10
20180627,pre_window,app_exception,21,15
20180627,pre_window,level_end,260,46
20180627,pre_window,select_content,1038,311
20180627,pre_window,screen_view,19647,340
20180627,pre_window,spend_virtual_currency,42,19
20180627,in_window,session_start,54,41
